위도,경도,주차구획수
34.60735891,127.2925478,13
34.60789773,127.2899293,16
34.60794917,127.2893321,17
34.6116970462,127.2847053874,60
34.60978788,127.2835917,15
34.61193642,127.2852712,20
34.61261149,127.2863944,40
35.2325460933,127.5847663394,0
35.2113529483,127.469596832,4
35.209874,127.461664,13
35.20841877,127.463958,28
35.215666,127.4672285703,11
35.2055772557,127.4657532134,37
35.2163763627,127.463122,44
35.21068982,127.467041,83
35.20906156,127.4694862137,43
35.210081,127.4647837765,8
35.2082890784,127.4659051346,18
35.2155714,127.4643653,99
35.18736794,127.4640281,80
35.189890289,127.4730099614,58
35.18236061,127.4698185,136
35.21063862,127.4674008,52
35.20963823,127.4628179445,21
35.21052033,127.4644307,8
35.21151301,127.4636167,31
35.21132188,127.4650486,40
35.20809786,127.4671762,36
35.20856041,127.4613121,38
35.20845537,127.466166,8
35.20916088,127.459996,7
35.20753169,127.4651493,41
35.205585887,127.4677369,32
35.31559164,127.4397317,41
35.21125878,127.4644308,15
35.2064277,127.4639404,22
35.20978578,127.4634814,10
35.210941,127.4657768,52
35.21048,127.4586951,100
35.20918753,127.4671434,60
35.29942052,126.9824449,32
35.30823421,126.9873142,131
35.28532633,127.0444705,36
35.30473305,126.9792941,13
35.32276064,126.9812531,26
35.32238615,126.9813413,12
35.28126991,126.8865248,29
35.31725941,126.9846868,13
35.32248871,126.9844669,12
35.31119368,126.9828458,31
35.31414883,126.9822006,31
35.32370195,126.9821479,5
35.31685635,126.983754,67
35.3212043,126.9850692,7
35.31767986,126.9849318,73
35.31655334,126.9864243,35
35.32146098,126.9829007,36
35.31933796,126.988969,36
35.31859693,126.9885751,42
35.31843117,126.9818544,7
35.34419642,127.0272035,15
35.22332931,126.9722056,112
35.31312094,126.9858809,33
35.30232594,126.9289401,82
35.31652836,126.9872207,263
35.34691183,126.956563,10
35.33663056,126.9840604,7
35.32370195,126.9821479,40
35.3218018,126.9861454,35
35.3114902,126.9821781,5
35.3212043,126.9850692,5
35.31777724,126.9855016,8
35.35208751,127.0532248,9
35.32192804,126.9816146,15
35.32053018,126.9809022,30
35.31906819,126.9862087,10
35.31716426,126.9859521,7
35.31559393,126.9858433,30
35.31718964,126.9823621,54
35.31857003,126.9813004,40
35.31823099,126.9805171,4
35.31498116,126.9827766,12
35.31790122,126.9809485,32
35.32411783,126.9841272,18
35.32249307,126.9847317,53
35.32064362,126.9874022,13
35.32237033,126.9819757,7
35.31314384,126.9860073,86
35.30881933,126.9858976,20
35.30986191,126.9868497,15
35.32490381,126.9805061,18
35.31388184,126.9823976,86
35.0979640482,126.7956127443,28
35.14221002,126.8015865,35
35.14503815,126.8006674,10
35.21165208,126.7807502,40
35.20898255,126.7819453,22
35.20178489,126.7916022,11
35.20187344,126.7906431,8
35.20080374,126.7918088,11
35.20085635,126.7909019,18
35.18329525,126.8054847,25
35.18469106,126.7961494,18
35.1832178,126.7960972,12
35.18245747,126.8006736,7
35.18820264,126.8408709,14
35.18366286,126.8012878,20
35.18154751,126.8040209,24
35.18152111,126.7992914,14
35.18382664,126.7991578,12
35.18196725,126.7953425,13
35.17437124,126.8080108,6
35.18328049,126.7945742,18
35.18397633,126.7971928,17
35.21228135,126.7878569,38
35.1998067,126.784814,65
35.21052062,126.7846693,14
35.19391864,126.8073644,56
35.11378734,126.7552272,14
35.1393195,126.8064164,14
35.16249035,126.8009609,21
35.2015861,126.7890715,33
35.19984828,126.7903803,20
35.21002302,126.7811236,23
35.20962859,126.7831754,22
35.16097476,126.803396,18
35.16081396,126.8056337,19
35.13661218,126.7926881,34
35.18420501,126.8028194,13
35.13661218,126.7926881,208
35.13661218,126.7926881,161
35.13661218,126.7926881,89
35.13711133,126.7886045,52
35.22059757,126.8257046,47
35.16287613,126.8059395,19
35.16056198,126.807182,19
35.16524813,126.8014856,24
35.16402733,126.8013723,34
35.16315869,126.8036932,21
35.14021977,126.7994773,30
35.15995335,126.8069915,40
35.1764761,126.8236517,62
35.1620577,126.8086062,59
35.18236715,126.803651,119
35.18156787,126.8015779,201
35.13813671,126.7947826,190
35.17166797,126.8096959,88
35.20042404,126.825239,65
35.19683748,126.8258694,74
35.13622744,126.7977313,149
35.14043727,126.7949565,211
35.13661218,126.7926881,107
35.13952578,126.7969671,70
35.085346,126.8350617,22
35.143654,126.913466,40
35.131332,126.915395,12
35.139139,126.893192,23
35.132134,126.921794,13
35.140266,126.905413,12
35.124837,126.895528,61
35.144482,126.900048,6
35.131734,126.908252,36
35.13211,126.895356,11
35.13019958,126.901825,113
35.144454,126.900082,6
35.137336,126.906895,28
35.141664,126.897066,20
35.136165,126.902482,8
35.14541,126.908681,20
35.147951,126.910171,48
35.137032,126.915648,7
35.093645,126.837482,19
35.110873,126.892836,109
35.123167,126.916605,101
35.135132,126.894264,59
35.141173,126.914984,18
35.145423,126.908097,26
35.130604,126.925081,17
35.146377,126.891086,14
35.144354,126.904291,8
35.15509075,126.9013634,148
35.15982792,126.8465404,48
35.15982792,126.8465404,44
35.16667956,126.8526003,5
35.16667956,126.8526003,8
35.15982792,126.8465404,33
35.15763319,126.896456,9
